	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Pulmonary Vascular Smooth Muscle Cells	-0.8723647765523628	-1.966946732806341	0.0	1e-300	0.0	88/95	11.04%	DPT;COL1A2;IGFBP7;SPARC;COL1A1;POSTN;LUM;MEDAG;ADGRL4;SERPING1;THY1;COL14A1;GNG11;COL6A3;DCN;HTRA3;COL4A1;C1S;CCDC80;AEBP1;CXCL12;COL6A2;PODN;LDB2;CD248;COL5A2;COL15A1;PAMR1;TEK;PTN;CNN1;AQP1;FSTL1;MSRB3;CNRIP1;COL5A1;FIBIN;MXRA5;CDH11;ANGPTL2;GALNT15;MMP2;BGN;ZNF521;MFAP4;FBN1;PDGFRB;ADAMTS5;ADAMTS12;PDGFRA;HSPB2;SSC5D;VSTM4;ADAM33;ELN;TAGLN;SGCD;ABCA8;EMILIN1;ADAMTS2;DDR2;ACTA2;MRGPRF;CRYAB;LMOD1;ADGRA2;FAT4;FBLN2;PRRX1;ITGA11;PCOLCE;LAMA4;CALD1;HSPB7;PCDH18;TNS1;NID2;ADAMTSL1;FAP;SVEP1;PRKG1;EFEMP2;HSPB6;MYLK;MYL9;ANGPT1;OLFML3;LAMA2
1	prerank	Vascular Smooth Muscle Cells	-0.8761786279944832	-1.9656454109174875	0.0	1e-300	0.0	91/97	11.04%	DPT;COL1A2;SPARC;ADAMTS1;COL1A1;POSTN;LUM;MEDAG;ASPN;ADGRL4;THY1;COL14A1;COL6A3;DCN;SFRP4;COL4A1;C1S;CCDC80;CXCL12;COL12A1;HAND2;PODN;COL5A2;COL15A1;PAMR1;TEK;CNN1;SLIT3;AQP1;FSTL1;MSRB3;FNDC1;COL5A1;FIBIN;MXRA5;SULF1;CDH11;ANGPTL2;MMP2;BGN;MFAP4;FBN1;RHOJ;PDGFRB;ADAMTS5;COL4A2;PDGFRA;EDNRA;RBMS3;SSC5D;VSTM4;ADAM33;ELN;SGCD;SYNPO2;ABCA8;ADAMTS2;DDR2;ACTA2;MRGPRF;CRYAB;LMOD1;HMCN1;ADGRA2;ABI3BP;KCNJ8;FAT4;CACNA2D1;IGFBP5;PRRX1;ITGA11;LAMA4;CALD1;GJA1;SLIT2;PCDH18;DLC1;NID2;ADAMTSL1;FAP;ITGA8;RUNX1T1;MYOCD;SVEP1;COL16A1;PRKG1;HSPB6;SEMA3D;MYLK;OLFML3;LAMA2
3	prerank	T Cells Naive	-0.8623907632612137	-1.9326148438253035	0.0	1e-300	0.0	83/89	12.23%	GIMAP4;GZMA;SLA;GIMAP7;CD28;CD53;CD48;HCLS1;GZMK;CD2;P2RY10;CD3E;DOK2;CD3D;GPR171;RASAL3;SH2D1A;GNLY;GIMAP6;CD4;SASH3;TRBC1;KLRB1;TNFSF8;LCP2;CD52;CCR5;TRAC;PTPRC;GIMAP1;TNFAIP8L2;ALOX5AP;VNN2;DPEP2;GZMH;GBP5;ARHGAP9;NKG7;IL18RAP;SELPLG;CYTH4;ICOS;IKZF1;CD96;CD40LG;SELL;TBX21;SLAMF1;GPR174;PYHIN1;TAGAP;PSTPIP1;PIK3R5;SIRPG;IL10RA;HCST;MYO1G;CCR7;TRAF3IP3;ARHGAP30;ITGAL;CD244;CD5;CD37;CD6;IL16;CD247;SLAMF6;GRAP2;TBC1D10C;PARVG;UBASH3A;CYTIP;ARHGAP25;WAS;JAML;ITGB2;S1PR4;PRF1;BIN2;CST7;SIT1;GPR65
4	prerank	Pancreatic Stellate Cells	-0.8603790160055108	-1.9312757964404657	0.0	1e-300	0.0	92/105	11.04%	SFRP2;DPT;COL1A2;SPARC;NNMT;MGP;COL1A1;POSTN;LUM;MEDAG;ADGRL4;THY1;COL14A1;COL6A3;DCN;HTRA3;INHBA;COL4A1;C1S;CCDC80;CXCL12;COL6A2;COL12A1;PODN;CD248;COL5A2;COL15A1;PAMR1;OLFML2B;FSTL1;FNDC1;COL5A1;FIBIN;TNC;MXRA5;SULF1;CDH11;ANGPTL2;MMP2;BGN;TNFAIP6;CCN2;MFAP4;FBN1;PDGFRB;ADAMTS5;ADAMTS12;COL4A2;PDGFRA;EHD2;SNAI2;EDNRA;SSC5D;RGS5;TAGLN;LRRC15;LTBP2;CSPG4;EMILIN1;ADAMTS2;DDR2;ACTA2;MRGPRF;CRYAB;LMOD1;CYGB;FBXL7;LOX;FBLN2;IGFBP5;PRRX1;PCOLCE;LAMA4;CALD1;FN1;GJA1;PCDH18;SPON2;NID2;ADAMTSL1;FAP;MXRA8;TMEM47;COL16A1;HTRA1;SOD3;EFEMP2;HSPB6;GEM;MYL9;OLFML3;LAMA2
5	prerank	Thymocytes	-0.854268243625821	-1.9302168902733026	0.0	1e-300	0.0	91/103	12.23%	CD69;GIMAP4;GZMA;SLA;GIMAP7;CD28;CD53;CD48;HCLS1;GZMK;CD2;LAPTM5;P2RY10;CD3E;DOK2;CD3D;FGR;RASAL3;SH2D1A;GNLY;GIMAP6;CD4;SASH3;TRBC1;TNFSF8;LCP2;CD52;CCR5;TRAC;NCKAP1L;PTPRC;PLEK;NCF1;GIMAP1;TNFAIP8L2;ALOX5AP;VNN2;DPEP2;GZMH;GBP5;ARHGAP9;NCF1C;NKG7;SELPLG;CYTH4;CXCR4;ICOS;IKZF1;SELL;TBX21;CCR2;IL2RA;SLAMF1;GPR174;TAGAP;PSTPIP1;PIK3R5;SIRPG;IL10RA;HCST;MYO1G;NCF1B;TRAF3IP3;ARHGAP30;ITGAL;CD244;CD5;CD37;IL16;CD247;CD1D;SLAMF6;CD8A;CD38;TBC1D10C;PARVG;UBASH3A;NCF4;CD27;CYTIP;ARHGAP25;WAS;JAML;ITGB2;MYO1F;S1PR4;PRF1;BIN2;CST7;SIT1;GPR65
149	prerank	Embryonic Stem Cells	-0.4969993482196515	-1.1239417875810378	0.157	0.23177032622111043	1.0	48/149	23.48%	THY1;COL4A1;PECAM1;FSTL1;ANTXR1;SFRP1;COL4A2;ADGRL2;ITGA4;FERMT2;GLI2;GJA1;LIFR;FBLN1;TENM3;SERPINH1;COL4A5;IL6ST;MDFI;NES;GJC1;GPX8;HHEX;SMAD9;COL4A6;FZD1;PIWIL2;NAV2;PLS3;SALL4;RAI14;RBPMS;GAL;TRIM6;ROR1;CD59;PODXL;FBLIM1;CD24;PTPN21;LMNA;UACA;LEF1;NXN;HES1;RND3;LRIG3;GJB4
150	prerank	Cholangiocytes	-0.4950510149870406	-1.120331749336469	0.198	0.23938178294485188	1.0	37/119	22.26%	ALB;CXCL6;ALPL;AQP1;SPP1;SCTR;GSTA1;DUOXA2;DEFB1;KRT7;ADH1C;GPBAR1;SLC13A2;CXCL1;MMP7;SSTR2;SLPI;MUC5B;AQP4;DUOX2;KCNN2;LCN2;PRSS22;CYP2C18;WFDC2;TFF1;AZGP1;TACSTD2;ACE2;PIGR;HMGCS2;CAPN13;ONECUT2;CFTR;CD24;CEACAM6;GGT1
119	prerank	Trichocytes	0.290257362721365	1.3667493435532718	0.0	0.08402585410895662	0.013	30/87	17.28%	HOXC11;HOXC13;TNS4;FGFBP1;TFAP2A;CCNO;MCIDAS;GRHL3;NTF4;PAX9;SP6;AP1M2;GRB7;ARHGEF16;LRRC8E;TFAP2C;DSP;EPS8L2;KRT18;KRT15;AJUBA;EDN2;TRIM29;KRT8;TRIM16;PKP3;LAD1;SULT2B1;BAIAP2L1;ITGB4
111	prerank	Urothelial Cells	0.2970664341928907	1.4116308913614244	0.0	0.09695290858725762	0.01	43/90	26.37%	UPK2;VGLL1;PRICKLE3;TJP3;BNIPL;UPK3A;RNF223;AP1G2;LYPD3;TRIM25;RBBP8NL;SSH3;CDC42BPG;DTX2;BICDL2;FBXL8;ZBTB7B;ALDH3B2;SCNN1A;SPINT1;MPZL3;PTK6;SYTL1;RHBDF2;ANO9;RASSF7;SULT2B1;ST14;PIEZO1;LLGL2;ELMO3;NBEAL2;UPK1A;ABHD11;ALOX15;SIRT7;PSCA;PSD4;DENND1C;NADSYN1;STXBP2;AQP3;P2RY2
2	prerank	Undefined Placental Cells	0.39315083193647005	1.953044252174971	0.0	1e-300	0.0	48/95	23.99%	HOXC13;FASN;DHCR7;CBX2;RCC1;PRSS8;SP6;SLC25A1;AP1M2;GRB7;PYCR1;ARHGEF16;LRRC42;TMEM52;TUBG1;CCDC86;RAC3;CDC20;LMNB2;KRT18;TEAD3;SAPCD2;PDIA4;AHCY;DNAAF5;TRAF4;KRT8;PRMT5;PKP3;BAIAP2L1;NOC2L;TRAP1;LRP5;SLC1A5;CCT3;TTLL12;SLC25A10;PSMD3;POLD2;RECQL4;KRT19;TRIM28;PAK4;NR2F6;EIF3B;FGFR4;FKBP4;TMEM54
