	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
4	prerank	ECM-receptor interaction	-0.7033937455054602	-2.1338937061375556	0.0	1e-300	0.0	43/75	13.80%	COL6A6;ITGA8;LAMC3;VWF;TNR;LAMA4;COL6A5;RELN;COL4A1;ITGA4;LAMA2;TNN;COL9A3;CD36;COL6A3;ITGB3;LAMB1;COL4A2;COL6A2;ITGA2B;COL1A2;COL4A6;FREM1;THBS2;CD44;LAMA1;HSPG2;FN1;ITGA6;COL2A1;ITGA5;COL6A1;ITGA1;COL9A1;TNC;NPNT;COL4A5;COL1A1;CHAD;FREM2;LAMC1;SPP1;ITGA2
6	prerank	Protein digestion and absorption	-0.6963490448956626	-2.0780125905068285	0.0	1e-300	0.0	35/68	12.56%	ATP1A2;COL6A6;COL23A1;XPNPEP2;ELN;COL5A3;ATP1B2;COL6A5;SLC8A3;COL24A1;COL4A1;COL13A1;COL9A3;COL25A1;COL21A1;COL6A3;COL15A1;COL4A2;COL5A2;COL14A1;COL6A2;COL16A1;SLC8A1;COL5A1;KCNJ13;COL1A2;COL4A6;COL2A1;COL6A1;COL9A1;SLC3A1;COL4A5;COL1A1;COL11A1;COL27A1
7	prerank	Cell adhesion molecules	-0.6487818140281123	-2.0228747334834103	0.0	1e-300	0.0	35/90	8.96%	CDH5;PECAM1;CD34;ITGA8;VCAM1;NRXN2;SELP;CLDN19;CLDN5;MADCAM1;NTNG1;CD4;CNTNAP2;LRRC4B;ITGA4;PTPRC;CD40;CD22;NLGN4X;ITGB2;ICAM2;NFASC;JAM2;MAG;NTNG2;ITGAL;CD226;CNTNAP1;HLA-DRB5;JAM3;ESAM;VSIR;NLGN3;ITGA6;CDH4
8	prerank	Calcium signaling pathway	-0.6112166047719351	-1.9965716304247603	0.0	1e-300	0.0	49/162	9.09%	FLT1;NTRK3;FGF10;EDNRB;CACNA1G;HGF;MYLK;TBXA2R;CAMK2A;HRC;P2RX1;VEGFD;NOS2;FLT4;PDGFRB;PRKCB;SLC8A3;PDGFB;HRH2;ADRA1D;KDR;PDE1B;FGF7;PTGER1;CACNA1B;PDGFRA;P2RX2;ADCY8;PLCB2;NOS3;SLC8A1;FGF2;NTRK2;PDE1C;EDNRA;HRH1;PLCD4;RYR3;AGTR1;CAMK1G;ADCY1;FGFR1;CAMK4;RYR2;VEGFC;P2RX7;TACR3;GRIN2D;CXCR4
9	prerank	Focal adhesion	-0.606041075472432	-1.9878262205428254	0.0	1e-300	0.0	59/173	13.98%	FLT1;COL6A6;ITGA8;LAMC3;VWF;HGF;MYLK;TNR;VEGFD;LAMA4;FLT4;PDGFRB;COL6A5;RELN;PRKCB;COL4A1;PDGFB;ITGA4;LAMA2;TNN;FLNC;KDR;COL9A3;PDGFRA;COL6A3;IGF1;CAV1;ITGB3;LAMB1;COL4A2;COL6A2;ITGA2B;COL1A2;COL4A6;THBS2;LAMA1;VEGFC;FN1;PARVB;ITGA6;COL2A1;ITGA5;COL6A1;MYL9;ITGA1;COL9A1;TNC;COL4A5;COL1A1;CHAD;TLN2;PPP1R12B;EGFR;MAPK10;LAMC1;SPP1;ITGA2;PPP1R12A;CAV2
5	prerank	IL-17 signaling pathway	0.5301013879784529	2.090073222193843	0.0	0.0013346515076618883	0.003	15/68	5.98%	CXCL6;CXCL1;CCL20;CXCL5;CXCL8;CXCL2;LCN2;CXCL3;CSF3;FOSL1;CCL2;MUC5B;MAPK13;PTGS2;NFKBIA
3	prerank	Steroid biosynthesis	0.7786193344027861	2.1430863458223426	0.0	0.0005561047948591201	0.001	10/17	6.73%	CYP24A1;DHCR7;DHCR24;EBP;HSD17B7;CYP51A1;MSMO1;TM7SF2;SQLE;SC5D
2	prerank	Oxidative phosphorylation	0.5227148473463427	2.190634786960871	0.0	0.0007414730598121602	0.001	70/109	22.57%	ATP6V0D1;ATP6V0E1;COX7C;COX5A;ATP6V0B;PPA1;COX6B1;ATP5F1E;UQCR11;ATP6V1E1;COX4I1;NDUFV2;UQCRFS1;COX6A1;NDUFS6;UQCRC1;NDUFA8;ATP5F1D;ATP6V1D;COX2;ATP6V0E2;UQCRH;ATP6V0C;ATP5MF;NDUFA13;ATP6V1F;COX7A2;ATP6AP1;ATP6V1G1;COX17;UQCRQ;NDUFB11;NDUFS8;NDUFB1;NDUFA7;ATP5MC3;ATP6V1H;NDUFA2;NDUFA1;COX7B;NDUFAB1;NDUFS5;ATP6V1A;COX6C;UQCR10;ATP6V1B2;ATP5MG;NDUFB7;UQCRB;NDUFA9;ATP5F1C;ATP5PB;COX7A2L;ATP5ME;ATP5F1A;COX8A;NDUFB4;COX3;NDUFB8;PPA2;ATP5PF;NDUFB6;NDUFS7;ATP5PO;NDUFB3;ATP5PD;NDUFC1;CYC1;NDUFB2;SDHA
1	prerank	Proteasome	0.6941643453133837	2.269611357626269	0.0	1e-300	0.0	32/36	25.85%	PSMB10;PSMD9;POMP;ADRM1;PSMA5;PSMD7;PSMB6;PSMD14;PSMA3;PSMA4;SEM1;PSMA7;PSMB5;PSMB1;PSMD3;PSMB4;PSMD4;PSMD8;PSMC5;PSMD13;PSMD6;PSMB2;PSMA6;PSMD2;PSMC3;PSMC2;PSMA1;PSME4;PSMC6;PSMA2;PSMD1;PSME3
0	prerank	Ribosome	0.658126645018859	2.8272881424837526	0.0	1e-300	0.0	102/119	29.68%	MRPS6;RPS10;RPS27L;RPL22L1;MRPL14;RPL39;RPL36AL;RNR1;MRPL12;MRPS15;RPS26;RPS21;RPLP1;MRPL4;MRPL33;RPL13A;MRPL34;MRPL36;MRPL28;MRPL27;RPS19;RPS29;RPL26L1;RPS12;RPL19;MRPL20;MRPS18C;MRPS17;RPL28;RPL12;RPL36;RPLP2;RPS13;MRPL22;UBA52;MRPL13;RPL23A;MRPS11;RPL27;RPL27A;MRPS7;RPLP0;RPL18A;RPL18;MRPL17;RPL37A;RPL34;RPS5;RPS11;RPSA;RPS16;RPL14;RPL29;RPS27A;RPS15;RPS3;RPL35;RPL35A;MRPS2;MRPL21;RPS24;RPS20;RPS15A;RNR2;RPL8;MRPS21;RPL31;RPL24;RPL17;MRPL15;RPS7;MRPL3;RPL38;RPS6;RPL23;MRPL18;RPL11;MRPS18A;RPL32;RPL37;RPL41;RPS14;RPL30;RPS4X;RPL7;RPS28;FAU;RPL26;MRPS16;MRPL2;RPL9;MRPL32;MRPL16;RPL5;RSL24D1;RPL13;MRPL10;RPL6;RPS23;RPL3;RPL4;RPL10
